,city,room_price,image_count,adult_occupancy,child_occupancy,property_id,num_amenities,zones,descr_len,deluxe,num_simhotel,wifi,ac,breakfast,service_value,acceptance_rate,response_label,Apartment,Homestay,Hotel,House,Lodge,Resort,Spa,Villa
29,Kakinada,400.0,0.0,1.0,1.0,44542.0,2.0,1.0,110.0,0.0,5.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
30,Jammu,473.0,33.0,2.0,2.0,61648.0,1.0,3.0,127.0,0.0,3.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
31,Jammu,500.0,22.0,2.0,2.0,68998.0,1.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
32,Jammu,500.0,29.0,2.0,2.0,61384.0,1.0,3.0,62.0,0.0,3.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
33,Digha,1569.0,12.0,2.0,2.0,35636.0,2.0,2.0,103.0,0.0,13.0,0.0,1.0,0.0,0.0,57.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34,Digha,2323.0,5.0,2.0,2.0,35624.0,2.0,2.0,112.0,1.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
35,Karaikal,723.0,6.0,1.0,1.0,13158.0,2.0,1.0,97.0,0.0,6.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
36,Jodhpur,1156.0,0.0,1.0,1.0,67566.0,2.0,3.0,108.0,0.0,12.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
37,Jalpaiguri,1250.0,10.0,2.0,2.0,78816.0,5.0,2.0,0.0,1.0,8.0,0.0,1.0,0.0,0.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
38,Kalimpong,1067.0,2.0,2.0,2.0,32976.0,1.0,2.0,115.0,0.0,5.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
39,Kodarma,976.0,5.0,2.0,2.0,47960.0,6.0,2.0,88.0,1.0,2.0,1.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
40,Digha,1355.0,2.0,2.0,2.0,72578.0,2.0,2.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
41,Jodhpur,2889.0,11.0,2.0,2.0,34346.0,2.0,3.0,116.0,1.0,14.0,1.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
42,Jodhpur,1417.0,39.0,2.0,2.0,52982.0,4.0,3.0,111.0,0.0,12.0,1.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
43,Karaikal,778.0,5.0,2.0,2.0,30872.0,3.0,1.0,140.0,0.0,5.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
